CustomerID,Tenure_Months,Monthly_Charges,Total_Charges,Contract_Type,Internet_Service,Online_Security,Tech_Support,Paperless_Billing,Payment_Method,Customer_Service_Calls,Monthly_Increase_Rate,Churn
1,52,149.2306151039248,5752.9463359246365,Two year,DSL,No,No,Yes,Electronic check,2,-1.1131761732410905,1
2,15,21.440211837260257,5800.454556071712,One year,No,No,Yes,Yes,Bank transfer,3,14.54788041648531,1
3,61,114.92254893038796,2330.9371698360333,Two year,Fiber optic,Yes,No,No,Bank transfer,1,9.790109080509197,0
4,21,94.33261107167746,6698.921040781756,Month-to-month,Fiber optic,Yes,No,No,Electronic check,4,4.030999965263851,0
5,24,76.42678289052438,2603.0750548376072,Two year,DSL,No,No,No,Credit card,7,-3.7326520708497135,0
6,3,36.584122694278214,5828.235679493684,One year,No,No,No,No,Bank transfer,4,-2.682989550434589,0
7,22,73.18106932253392,1055.8981633453247,Month-to-month,Fiber optic,No,No,Yes,Credit card,1,11.257991385428294,1
8,53,66.06903378819759,1432.7429781495907,One year,Fiber optic,No,No,Yes,Mailed check,6,13.908981876740011,1
9,2,59.367885567236485,2594.785591615184,One year,DSL,No,No,No,Electronic check,7,-4.372996310493431,1
10,30,115.014351031887,4791.602764576106,One year,DSL,No,No,Yes,Bank transfer,3,13.207942453765519,0
11,38,111.09431776695429,5199.540735281725,Month-to-month,No,Yes,No,Yes,Credit card,2,2.611274267719839,1
12,2,96.5726118275185,3231.2137585430514,Two year,DSL,Yes,No,Yes,Mailed check,7,-0.7273467869265211,1
13,64,142.0264257281384,714.9293095730609,Month-to-month,No,No,No,No,Electronic check,9,-2.9553528517361927,1
14,60,65.48106994351107,3051.7137515325217,One year,No,No,No,No,Bank transfer,1,10.434978839063898,1
15,21,51.694251902323344,5541.263376077297,Two year,Fiber optic,No,Yes,Yes,Mailed check,6,4.378209703636273,0
16,33,105.26743070279194,5400.864142929496,One year,DSL,No,Yes,Yes,Electronic check,9,11.648475638705136,1
17,58,45.84582792186238,1365.5516643229978,Month-to-month,DSL,No,No,Yes,Bank transfer,7,-0.47685693150075714,1
18,22,60.951365933845196,161.49336512484052,Month-to-month,No,No,No,Yes,Credit card,4,8.571360736648492,0
19,49,49.19831720973502,6048.554776639323,One year,Fiber optic,No,Yes,No,Mailed check,6,-2.637565902677439,0
20,59,28.98996380340516,940.3085144434253,Two year,Fiber optic,Yes,No,No,Mailed check,8,-3.2049863173046056,1
21,42,127.57483641263754,750.5582373178554,Two year,Fiber optic,No,Yes,No,Credit card,7,-2.33200299276497,1
22,60,53.09027057981595,121.33961298989139,Two year,DSL,No,No,Yes,Mailed check,4,11.178026011206143,0
23,15,81.49357543459269,3517.550475059725,Month-to-month,Fiber optic,No,Yes,No,Mailed check,3,8.112394708652799,0
24,62,25.630985523060552,4075.7848171164337,Month-to-month,DSL,No,No,Yes,Electronic check,2,-1.6807221613268353,0
25,62,110.9141306128436,5137.545964573866,Month-to-month,No,No,Yes,No,Credit card,5,2.6954442137037082,1
26,47,62.972930299817804,2438.904341629428,Month-to-month,DSL,No,No,No,Mailed check,3,10.273720195129135,0
27,62,116.8157746177973,5712.355259455561,Month-to-month,DSL,No,No,No,Credit card,3,0.7134877882777442,1
28,51,73.6123978608226,1437.7216735148384,Month-to-month,No,Yes,No,Yes,Electronic check,6,13.425274246261914,0
29,55,45.4482288327312,6672.721419571744,One year,DSL,No,No,Yes,Electronic check,9,13.292055827005143,1
30,64,86.71276069666467,4617.60179823452,Month-to-month,Fiber optic,Yes,No,No,Credit card,4,6.05801651389447,1
31,3,36.965592752867174,4712.729604639183,One year,Fiber optic,No,Yes,Yes,Credit card,0,7.639485383042297,0
32,51,77.27009078348931,1757.2257688549541,Two year,DSL,No,No,Yes,Bank transfer,4,8.064367067756598,1
33,7,61.24971206466325,685.4591194730672,One year,Fiber optic,No,No,Yes,Electronic check,5,0.1693691551015135,1
34,21,138.55474594595233,3771.3259443373045,Two year,DSL,Yes,No,Yes,Mailed check,0,2.30642777447974,0
35,39,27.920733823693595,4963.334420186636,Two year,No,No,No,Yes,Electronic check,2,-2.2811777902023067,0
36,18,110.22226383374647,850.8670234273162,Month-to-month,DSL,No,No,Yes,Electronic check,5,13.49742683307738,0
37,4,43.75765157836667,7609.222348772517,Month-to-month,Fiber optic,Yes,No,Yes,Bank transfer,6,9.476988773911042,1
38,60,61.47585966319118,7845.273445839174,Month-to-month,Fiber optic,No,No,Yes,Credit card,6,-4.072874673347049,0
39,14,74.01682819806857,4409.107893600687,Month-to-month,No,No,Yes,No,Electronic check,6,5.987749001958333,1
40,9,138.04196161874665,7605.546326659909,One year,No,No,No,No,Bank transfer,8,1.8614746947591865,1
41,53,51.53517458959727,1517.6173768887393,Two year,DSL,No,Yes,Yes,Credit card,1,11.305757541228182,0
42,2,31.87014433080713,300.8234129182466,Two year,Fiber optic,No,Yes,No,Electronic check,2,1.8760017566702558,0
43,60,61.42964851876807,411.33532879408045,Month-to-month,DSL,Yes,Yes,No,Bank transfer,6,7.883002492017898,1
44,71,33.60787616961933,4741.348587471555,Two year,Fiber optic,No,No,Yes,Electronic check,5,-1.6851933308685485,0
45,44,36.71754317487182,586.9708791509058,Month-to-month,Fiber optic,No,No,Yes,Mailed check,0,6.175109792981175,1
46,8,94.60057773675346,7672.510293910288,Two year,Fiber optic,No,No,Yes,Credit card,9,0.8777146510709848,1
47,47,27.917251302934133,1221.2723649992488,Month-to-month,DSL,No,No,Yes,Credit card,6,-1.7022315527497445,0
48,35,24.021014581163584,2507.310167818531,Month-to-month,Fiber optic,No,No,No,Electronic check,1,7.38518293872912,1
49,36,112.8738331911647,6597.890635786953,Month-to-month,Fiber optic,No,Yes,Yes,Bank transfer,3,7.772824000307514,1
50,50,67.01412232933578,1828.0485525223353,Two year,Fiber optic,No,No,Yes,Bank transfer,6,14.667075622675732,1
51,4,36.29879540040353,2019.4508217911077,Month-to-month,DSL,No,No,No,Mailed check,3,8.382121193222314,1
52,2,52.96966021176207,5174.240750749044,Month-to-month,DSL,No,No,No,Mailed check,5,5.314198770542564,0
53,6,103.47124595581187,2281.0800990651724,Two year,Fiber optic,No,No,Yes,Bank transfer,8,13.252416861694993,1
54,54,55.81975372831065,1817.8363086608322,Two year,No,Yes,No,No,Credit card,4,11.565616373769117,0
55,4,84.28774626565303,2108.0039430146944,Month-to-month,DSL,No,No,Yes,Mailed check,2,5.974925568803574,1
56,54,35.820389874467395,3976.115244791742,Two year,Fiber optic,Yes,Yes,Yes,Electronic check,5,5.226981554816145,0
57,63,96.4521728887081,7732.188994578709,Month-to-month,Fiber optic,No,No,No,Electronic check,3,13.839383714317538,0
58,18,61.09009889962433,6674.679738333703,Month-to-month,DSL,No,Yes,Yes,Credit card,8,7.342540879178616,1
59,44,101.50589648873314,2348.4210900253993,One year,Fiber optic,Yes,No,Yes,Credit card,1,9.275583383390138,0
60,34,125.09133469952297,2970.648347134972,One year,Fiber optic,No,No,No,Mailed check,9,-3.2664191570559375,1
61,62,99.51403452069901,3769.6467789822113,One year,DSL,Yes,No,No,Electronic check,4,9.366112424985184,1
62,14,58.44718313735269,7833.544211434224,One year,DSL,No,No,No,Credit card,8,0.29363684413366453,1
63,48,53.24668120127905,1461.884699852154,One year,No,No,Yes,Yes,Electronic check,9,-2.689241535874165,1
64,15,62.56472463534824,2924.1165175858746,Two year,No,Yes,No,No,Mailed check,6,11.993322176106197,0
65,62,41.40066672074563,5862.466142463448,Two year,No,No,No,No,Credit card,4,8.82382173305492,1
66,40,43.55234061050261,7715.1555007246525,One year,Fiber optic,No,Yes,No,Bank transfer,7,3.1512862447626073,0
67,53,122.78984324702182,1329.8341808374778,Month-to-month,Fiber optic,No,No,No,Electronic check,1,3.62833452416133,0
68,24,70.01523494596785,1896.3016381353316,One year,No,No,No,Yes,Credit card,3,-1.0576455558036724,0
69,26,76.67937347417616,1882.9879276843988,Two year,DSL,No,No,Yes,Mailed check,5,-4.8089800906744955,0
70,60,97.22643052368545,265.36303298738073,One year,DSL,Yes,No,Yes,Bank transfer,6,1.987182791387534,0
71,41,96.65495436970119,4872.513437349501,One year,Fiber optic,No,No,Yes,Credit card,7,-2.031712806348289,0
72,29,28.758993297850346,5398.554285752561,Month-to-month,Fiber optic,No,No,No,Electronic check,3,3.4345359137463056,1
73,15,128.10030222389653,4859.954531989501,One year,Fiber optic,No,No,No,Electronic check,8,11.676501758599166,0
74,45,43.05245191911212,663.4516163612333,Month-to-month,DSL,Yes,No,No,Mailed check,6,-2.7049127319456057,1
75,65,113.99931268645695,646.9179933904904,Two year,Fiber optic,No,No,Yes,Electronic check,1,-3.1649279572770705,1
76,71,120.44722845666166,1762.0537805035797,One year,DSL,No,No,Yes,Bank transfer,8,13.042044399311237,1
77,9,112.93693943187078,2393.3266740214253,Month-to-month,DSL,No,No,Yes,Mailed check,6,9.902791248766466,1
78,1,95.26709405203887,6313.694881689375,One year,Fiber optic,No,No,No,Mailed check,4,-3.9386026876481983,1
79,8,21.899169624154773,1359.1830994164768,Two year,Fiber optic,No,No,No,Credit card,2,-3.4085902948483238,1
80,63,66.84881400721218,448.3285095405039,Month-to-month,Fiber optic,No,No,No,Mailed check,8,8.69848456297855,0
81,11,98.62912581713556,3212.5013109331353,One year,Fiber optic,No,No,Yes,Credit card,6,2.406884042953723,1
82,8,70.36866846993003,3389.4981441211703,One year,Fiber optic,No,No,No,Mailed check,2,9.483465910888844,1
83,35,132.2523863386657,3662.1679716927383,Two year,Fiber optic,No,No,Yes,Credit card,4,3.0890813860095534,0
84,35,60.14429579545,6632.537997813051,Month-to-month,DSL,No,No,Yes,Credit card,2,14.355733746423354,0
85,33,58.15952301962586,874.2427774804396,One year,DSL,No,No,Yes,Credit card,2,8.888332245213022,0
86,5,54.579700102045535,5661.142451133501,Two year,Fiber optic,Yes,No,Yes,Bank transfer,6,-4.067684703086503,1
87,41,63.26151296490342,2769.7700112577973,Two year,DSL,Yes,Yes,No,Credit card,8,1.6100354975473241,0
88,28,92.46264536084433,2548.8430778402126,One year,No,No,No,No,Bank transfer,4,6.272123722720586,0
89,7,111.91198825543681,7467.090696079241,Two year,DSL,No,No,Yes,Credit card,3,-2.1625272359928527,0
90,12,106.13382930604206,2062.901342892262,One year,Fiber optic,Yes,No,Yes,Credit card,3,-4.949593998494086,0
91,34,125.00331659759235,5176.001499180994,One year,DSL,No,No,Yes,Bank transfer,2,-3.413837353565674,1
