Date,Brand,Category,Market_Share_Percent,Sales_Volume_Units,Sales_Revenue_EUR,Price_Per_Unit_EUR,Region,Competitor_Count,Market_Growth_Rate
2023-01-01,BrandA,Beverages,22.5,450000,1350000,3.0,North,8,2.5
2023-01-01,BrandB,Beverages,18.3,380000,1140000,3.0,North,8,2.5
2023-01-01,BrandC,Beverages,15.7,320000,960000,3.0,North,8,2.5
2023-01-01,BrandD,Beverages,12.4,250000,750000,3.0,North,8,2.5
2023-01-01,BrandE,Beverages,31.1,620000,1860000,3.0,North,8,2.5
2023-02-01,BrandA,Beverages,23.1,465000,1395000,3.0,North,8,3.2
2023-02-01,BrandB,Beverages,17.9,375000,1125000,3.0,North,8,3.2
2023-02-01,BrandC,Beverages,16.2,330000,990000,3.0,North,8,3.2
2023-02-01,BrandD,Beverages,12.8,260000,780000,3.0,North,8,3.2
2023-02-01,BrandE,Beverages,30.0,600000,1800000,3.0,North,8,3.2
2023-03-01,BrandA,Beverages,24.5,490000,1470000,3.0,North,8,4.1
2023-03-01,BrandB,Beverages,17.2,360000,1080000,3.0,North,8,4.1
2023-03-01,BrandC,Beverages,15.8,315000,945000,3.0,North,8,4.1
2023-03-01,BrandD,Beverages,13.2,270000,810000,3.0,North,8,4.1
2023-03-01,BrandE,Beverages,29.3,585000,1755000,3.0,North,8,4.1
2023-04-01,BrandA,Beverages,25.2,505000,1515000,3.0,North,8,3.8
2023-04-01,BrandB,Beverages,16.8,350000,1050000,3.0,North,8,3.8
2023-04-01,BrandC,Beverages,15.3,305000,915000,3.0,North,8,3.8
2023-04-01,BrandD,Beverages,13.5,280000,840000,3.0,North,8,3.8
2023-04-01,BrandE,Beverages,29.2,580000,1740000,3.0,North,8,3.8
2023-05-01,BrandA,Beverages,26.1,520000,1560000,3.0,North,8,5.2
2023-05-01,BrandB,Beverages,16.2,340000,1020000,3.0,North,8,5.2
2023-05-01,BrandC,Beverages,14.8,295000,885000,3.0,North,8,5.2
2023-05-01,BrandD,Beverages,13.8,290000,870000,3.0,North,8,5.2
2023-05-01,BrandE,Beverages,29.1,575000,1725000,3.0,North,8,5.2
2023-06-01,BrandA,Beverages,27.3,545000,1635000,3.0,North,8,6.1
2023-06-01,BrandB,Beverages,15.5,330000,990000,3.0,North,8,6.1
2023-06-01,BrandC,Beverages,14.2,285000,855000,3.0,North,8,6.1
2023-06-01,BrandD,Beverages,14.0,295000,885000,3.0,North,8,6.1
2023-06-01,BrandE,Beverages,29.0,570000,1710000,3.0,North,8,6.1
2023-01-01,BrandA,Snacks,18.5,370000,1110000,3.0,South,7,1.8
2023-01-01,BrandB,Snacks,21.3,425000,1275000,3.0,South,7,1.8
2023-01-01,BrandC,Snacks,19.7,395000,1185000,3.0,South,7,1.8
2023-01-01,BrandD,Snacks,16.2,325000,975000,3.0,South,7,1.8
2023-01-01,BrandE,Snacks,24.3,485000,1455000,3.0,South,7,1.8
2023-02-01,BrandA,Snacks,19.2,385000,1155000,3.0,South,7,2.5
2023-02-01,BrandB,Snacks,20.8,415000,1245000,3.0,South,7,2.5
2023-02-01,BrandC,Snacks,20.1,405000,1215000,3.0,South,7,2.5
2023-02-01,BrandD,Snacks,15.8,315000,945000,3.0,South,7,2.5
2023-02-01,BrandE,Snacks,24.1,480000,1440000,3.0,South,7,2.5
2023-03-01,BrandA,Snacks,20.1,400000,1200000,3.0,South,7,3.2
