Date,Product_Category,Weekly_Sales_EUR,Social_Mentions,Viral_Activity
2023-01-01,Beauty,265138.3698581291,5302,False
2023-01-08,Beauty,277821.82424312993,5556,False
2023-01-15,Beauty,285568.8279158175,5711,False
2023-01-22,Beauty,651191.5520462793,13023,True
2023-01-29,Beauty,685497.478586929,13709,True
2023-02-05,Beauty,451575.4799818467,9031,True
2023-02-12,Beauty,383613.3694606464,7672,False
2023-02-19,Beauty,355579.0675218644,7111,False
2023-02-26,Beauty,277575.4815143792,5551,False
2023-03-05,Beauty,296497.5552169714,5929,False
2023-03-12,Beauty,261495.17062028535,5229,False
2023-03-19,Beauty,285383.0555088479,5707,False
2023-01-01,Fashion,342710.3542896107,6854,False
2023-01-08,Fashion,334581.4437981018,6691,False
2023-01-15,Fashion,334461.58066038846,6689,False
2023-01-22,Fashion,959238.4386545017,19184,True
2023-01-29,Fashion,734319.7474047686,14686,True
2023-02-05,Fashion,677726.6450012622,13554,True
2023-02-12,Fashion,453088.76655198605,9061,False
2023-02-19,Fashion,475557.22947165766,9511,False
2023-02-26,Fashion,329933.650667685,6598,False
2023-03-05,Fashion,345397.75918259536,6907,False
2023-03-12,Fashion,352448.0535046656,7048,False
2023-03-19,Fashion,370815.8697112013,7416,False
2023-01-01,Food & Beverage,201792.5660822165,4035,False
2023-01-08,Food & Beverage,202398.85103695776,4047,False
2023-01-15,Food & Beverage,209218.54202805844,4184,False
2023-01-22,Food & Beverage,409077.3296908933,8181,True
2023-01-29,Food & Beverage,462379.4079642372,9247,True
2023-02-05,Food & Beverage,537239.4855482713,10744,True
2023-02-12,Food & Beverage,283750.4383702601,5675,False
2023-02-19,Food & Beverage,268130.8529065984,5362,False
2023-02-26,Food & Beverage,217018.11552867712,4340,False
2023-03-05,Food & Beverage,207789.4160915848,4155,False
2023-03-12,Food & Beverage,207239.61823193615,4144,False
2023-03-19,Food & Beverage,191991.37532015043,3839,False
2023-01-01,Electronics,479067.9606775674,9581,False
2023-01-08,Electronics,487093.61115229037,9741,False
2023-01-15,Electronics,473779.31947911717,9475,False
2023-01-22,Electronics,1216908.094111278,24338,True
2023-01-29,Electronics,908747.6091583603,18174,True
2023-02-05,Electronics,875586.3748624203,17511,True
2023-02-12,Electronics,606754.5588970748,12135,False
2023-02-19,Electronics,608944.0060214322,12178,False
2023-02-26,Electronics,513326.8215991927,10266,False
2023-03-05,Electronics,521009.4427403495,10420,False
2023-03-12,Electronics,499429.48087024264,9988,False
2023-03-19,Electronics,505552.4536616497,10111,False
2023-01-01,Home & Living,356643.7550458397,7132,False
2023-01-08,Home & Living,373814.1318450197,7476,False
2023-01-15,Home & Living,410315.02544262656,8206,False
2023-01-22,Home & Living,887360.4397362553,17747,True
2023-01-29,Home & Living,704348.2442765197,14086,True
2023-02-05,Home & Living,854574.1359164264,17091,True
2023-02-12,Home & Living,487750.02641221706,9755,False
2023-02-19,Home & Living,509044.2097334372,10180,False
2023-02-26,Home & Living,362729.1395610188,7254,False
2023-03-05,Home & Living,363120.7377175537,7262,False
2023-03-12,Home & Living,363728.8008504736,7274,False
2023-03-19,Home & Living,408446.19984643994,8168,False
2023-01-01,Fitness,383077.88828701864,7661,False
2023-01-08,Fitness,384609.2756119374,7692,False
2023-01-15,Fitness,416601.47899026325,8332,False
2023-01-22,Fitness,681835.3154829568,13636,True
2023-01-29,Fitness,728069.3759069346,14561,True
2023-02-05,Fitness,1157862.8869848417,23157,True
2023-02-12,Fitness,501904.34164397157,10038,False
2023-02-19,Fitness,549829.6073861768,10996,False
2023-02-26,Fitness,431215.32700016844,8624,False
2023-03-05,Fitness,395575.3422233317,7911,False
2023-03-12,Fitness,374534.57587802975,7490,False
2023-03-19,Fitness,387899.91543003713,7757,False
